latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.34832,131.2019,312.36,1.14,1.06,2025-06-26,0037,T,64,6.1NRT,289.22,9.89,D
-12.78068,133.69038,315.42,1.66,1.27,2025-06-26,0037,T,75,6.1NRT,284.66,23.49,D
-12.49958,130.68106,328.37,1.08,1.04,2025-06-26,0039,T,85,6.1NRT,296.79,24.08,D
-12.50092,130.69081,411.76,1.09,1.04,2025-06-26,0039,T,94,6.1NRT,306.59,367.21,D
34.71756,137.29346,311.29,1.1,1.04,2025-06-26,0024,T,0,6.1NRT,289.14,8.31,D
-12.50226,130.70056,344.38,1.09,1.04,2025-06-26,0039,T,88,6.1NRT,298.33,51.67,D
-12.5101,130.68953,311.85,1.09,1.04,2025-06-26,0039,T,69,6.1NRT,296.02,6.42,D
-12.51144,130.69928,315.72,1.09,1.04,2025-06-26,0039,T,74,6.1NRT,295.42,9.94,D
-12.96473,133.87733,309.74,1.73,1.29,2025-06-26,0039,T,27,6.1NRT,284.96,14.25,D
-12.9667,133.89272,312.58,1.73,1.29,2025-06-26,0039,T,54,6.1NRT,284.82,19.27,D
-12.9649,133.8871,314.49,1.73,1.29,2025-06-26,0039,T,73,6.1NRT,285.82,23.98,D
-12.71734,131.46271,312.83,1.18,1.08,2025-06-26,0039,T,70,6.1NRT,290.38,11.14,D
-12.71878,131.47336,316.06,1.19,1.08,2025-06-26,0039,T,74,6.1NRT,290.04,14.7,D
-12.74392,131.48508,310.03,1.19,1.08,2025-06-26,0039,T,64,6.1NRT,291.79,8.72,D
-12.71915,130.94051,314.77,1.12,1.05,2025-06-26,0039,T,51,6.1NRT,296.58,9.54,D
-12.97069,132.84148,312.98,1.45,1.19,2025-06-26,0039,T,71,6.1NRT,284.62,16.32,D
-12.72297,130.89912,316.93,1.11,1.05,2025-06-26,0039,T,68,6.1NRT,297.45,10.74,D
-12.72845,130.93922,315,1.12,1.05,2025-06-26,0039,T,44,6.1NRT,296.68,9.59,D
-12.71722,130.7885,326.27,1.1,1.05,2025-06-26,0039,T,82,6.1NRT,297.14,22.46,D
-12.71859,130.79839,341.49,1.1,1.05,2025-06-26,0039,T,92,6.1NRT,298.72,47.2,D
-12.71995,130.80829,318.81,1.1,1.05,2025-06-26,0039,T,76,6.1NRT,297.45,13.1,D
-12.73363,130.90782,319.45,1.11,1.05,2025-06-26,0039,T,77,6.1NRT,297.59,13.43,D
-12.72783,130.79712,325.94,1.1,1.05,2025-06-26,0039,T,82,6.1NRT,297.94,21.26,D
-12.7292,130.80701,335.34,1.1,1.05,2025-06-26,0039,T,88,6.1NRT,299.05,35.49,D
-12.73057,130.81689,315.21,1.1,1.05,2025-06-26,0039,T,72,6.1NRT,297.63,9.02,D
-13.11217,133.59895,307.3,1.65,1.26,2025-06-26,0039,T,41,6.1NRT,287.99,10.97,D
-12.81722,131.05479,311.73,1.13,1.06,2025-06-26,0039,T,65,6.1NRT,296.37,8.45,D
-12.8186,131.06499,314.67,1.13,1.06,2025-06-26,0039,T,70,6.1NRT,297.16,11.11,D
-13.144,133.57422,308.2,1.65,1.26,2025-06-26,0039,T,63,6.1NRT,289.03,12.48,D
-13.09075,133.06255,310.56,1.51,1.21,2025-06-26,0039,T,67,6.1NRT,289.13,13.58,D
-13.09251,133.07639,309.5,1.51,1.21,2025-06-26,0039,T,65,6.1NRT,288.51,12.23,D
-12.84396,131.04085,337.08,1.13,1.06,2025-06-26,0039,T,84,6.1NRT,298.23,41.01,D
